epoch,step,train/loss,train/reward,val/reward
0,0,,,-47.75
1,1,,,-64.0
2,2,,,-49.0
3,3,,,-255.75
4,4,,,-473.0
5,5,,,-54.25
6,6,,,-59.75
7,7,,,-53.0
8,8,,,-70.25
9,9,,,-285.0
10,10,,,-284.75
11,11,,,-276.0
12,12,,,-37.5
13,13,,,-468.25
14,14,,,-99.25
15,15,,,-260.75
16,16,,,-51.0
17,17,,,-41.75
18,18,,,-52.5
19,19,,,-41.25
20,20,,,-26.25
21,21,,,-38.25
22,22,,,-56.75
23,23,,,-453.0
24,24,,,-53.0
25,25,,,-62.0
26,26,,,-27.0
27,27,,,-64.5
28,28,,,-90.5
29,29,,,-81.25
30,30,,,-261.25
31,31,,,-51.0
32,32,,,-41.5
33,33,,,-62.0
34,34,,,-78.5
35,35,,,-47.25
36,36,,,-37.75
37,37,,,-42.75
38,38,,,-57.5
39,39,,,-73.25
40,40,,,-58.0
41,41,,,-85.25
42,42,,,-49.75
43,43,,,-24.0
44,44,,,-46.5
45,45,,,-62.0
46,46,,,-61.5
47,47,,,-74.75
48,48,,,-52.0
49,49,6.250127792358398,-39.5,
49,49,,,-77.0
50,50,,,-57.0
51,51,,,-24.25
52,52,,,-40.5
53,53,,,-44.75
54,54,,,-64.25
55,55,,,-39.0
56,56,,,-74.0
57,57,,,-290.0
58,58,,,-45.5
59,59,,,-32.5
60,60,,,-39.75
61,61,,,-50.0
62,62,,,-51.75
63,63,,,-61.0
64,64,,,-42.25
65,65,,,-49.0
66,66,,,-49.5
67,67,,,-57.5
68,68,,,-58.75
69,69,,,-31.25
70,70,,,-283.25
71,71,,,-48.5
72,72,,,-33.25
73,73,,,-81.0
74,74,,,-56.0
75,75,,,-45.5
76,76,,,-52.0
77,77,,,-52.25
78,78,,,-38.0
79,79,,,-66.25
80,80,,,-22.5
81,81,,,-60.0
82,82,,,-44.75
83,83,,,-56.0
84,84,,,-70.75
85,85,,,-45.25
86,86,,,-76.5
87,87,,,-65.25
88,88,,,-33.75
89,89,,,-67.0
90,90,,,-43.75
91,91,,,-51.0
92,92,,,-45.5
93,93,,,-69.0
94,94,,,-49.25
95,95,,,-44.5
96,96,,,-37.25
97,97,,,-48.5
98,98,,,-57.5
99,99,0.35305672883987427,-45.75,
99,99,,,-50.75
