epoch,step,train/loss,train/reward,val/reward
0,0,,,-514.25
1,1,,,-753.25
2,2,,,-1000.0
3,3,,,-765.25
4,4,,,-1000.0
5,5,,,-1000.0
6,6,,,-759.0
7,7,,,-759.0
8,8,,,-1000.0
9,9,,,-754.25
10,10,,,-1000.0
11,11,,,-1000.0
12,12,,,-1000.0
13,13,,,-762.25
14,14,,,-1000.0
15,15,,,-1000.0
16,16,,,-1000.0
17,17,,,-1000.0
18,18,,,-1000.0
19,19,,,-1000.0
20,20,,,-761.0
21,21,,,-1000.0
22,22,,,-761.25
23,23,,,-1000.0
24,24,,,-1000.0
25,25,,,-1000.0
26,26,,,-526.0
27,27,,,-753.25
28,28,,,-760.0
29,29,,,-758.25
30,30,,,-753.5
31,31,,,-1000.0
32,32,,,-1000.0
33,33,,,-769.0
34,34,,,-1000.0
35,35,,,-1000.0
36,36,,,-1000.0
37,37,,,-760.25
38,38,,,-752.75
39,39,,,-1000.0
40,40,,,-1000.0
41,41,,,-1000.0
42,42,,,-1000.0
43,43,,,-1000.0
44,44,,,-754.75
45,45,,,-752.75
46,46,,,-1000.0
47,47,,,-762.75
48,48,,,-1000.0
49,49,-17999.1015625,-764.0,
49,49,,,-1000.0
50,50,,,-1000.0
51,51,,,-755.5
52,52,,,-1000.0
53,53,,,-1000.0
54,54,,,-1000.0
55,55,,,-1000.0
56,56,,,-762.0
57,57,,,-1000.0
58,58,,,-1000.0
59,59,,,-767.75
60,60,,,-282.0
61,61,,,-511.75
62,62,,,-1000.0
63,63,,,-764.0
64,64,,,-755.25
65,65,,,-1000.0
66,66,,,-760.5
67,67,,,-763.75
68,68,,,-1000.0
69,69,,,-760.0
70,70,,,-1000.0
71,71,,,-1000.0
72,72,,,-756.25
73,73,,,-1000.0
74,74,,,-761.75
75,75,,,-1000.0
76,76,,,-1000.0
77,77,,,-760.25
78,78,,,-1000.0
79,79,,,-763.75
80,80,,,-518.5
81,81,,,-1000.0
82,82,,,-1000.0
83,83,,,-1000.0
84,84,,,-24.5
85,85,,,-763.75
86,86,,,-1000.0
87,87,,,-765.25
88,88,,,-756.0
89,89,,,-759.0
90,90,,,-1000.0
91,91,,,-1000.0
92,92,,,-765.25
93,93,,,-1000.0
94,94,,,-753.5
95,95,,,-1000.0
96,96,,,-766.5
97,97,,,-762.0
98,98,,,-1000.0
99,99,-12017.0703125,-1000.0,
99,99,,,-766.0
