epoch,step,val/reward
0,0,-1000.0
1,1,-1000.0
2,2,-753.25
3,3,-750.75
4,4,-508.0
5,5,-1000.0
6,6,-1000.0
7,7,-756.75
8,8,-1000.0
9,9,-1000.0
10,10,-1000.0
11,11,-761.25
12,12,-755.5
13,13,-1000.0
14,14,-1000.0
15,15,-513.5
16,16,-1000.0
17,17,-763.0
18,18,-1000.0
19,19,-1000.0
20,20,-755.0
21,21,-758.75
22,22,-755.25
23,23,-1000.0
24,24,-1000.0
25,25,-1000.0
26,26,-1000.0
27,27,-1000.0
28,28,-513.0
29,29,-507.5
30,30,-1000.0
31,31,-755.5
32,32,-1000.0
33,33,-1000.0
34,34,-756.5
35,35,-1000.0
36,36,-506.0
37,37,-1000.0
38,38,-263.75
39,39,-1000.0
40,40,-756.5
41,41,-1000.0
42,42,-756.5
43,43,-761.25
44,44,-1000.0
45,45,-510.5
46,46,-754.25
47,47,-754.75
