epoch,step,train/loss,train/reward,val/reward
0,0,,,-237.5
1,1,,,-472.0
2,2,,,-469.0
3,3,,,1.0
4,4,,,-940.0
5,5,,,-238.5
6,6,,,-704.5
7,7,,,-466.5
8,8,,,1.0
9,9,,,-467.5
10,10,,,-475.0
11,11,,,-467.0
12,12,,,-476.0
13,13,,,-243.0
14,14,,,-474.5
15,15,,,-720.0
16,16,,,-475.0
17,17,,,-483.5
18,18,,,-485.5
19,19,,,-238.5
20,20,,,-722.5
21,21,,,-483.5
22,22,,,-481.0
23,23,,,-241.0
24,24,,,-476.5
25,25,,,-730.5
26,26,,,-729.0
27,27,,,-724.5
28,28,,,-972.5
29,29,,,-966.5
30,30,,,-241.0
31,31,,,-721.0
32,32,,,-968.0
33,33,,,-481.5
34,34,,,-957.5
35,35,,,-967.0
36,36,,,-715.5
37,37,,,-480.0
38,38,,,-483.0
39,39,,,-725.5
40,40,,,-727.5
41,41,,,-966.0
42,42,,,-243.5
43,43,,,-974.5
44,44,,,-485.0
45,45,,,-733.5
46,46,,,-720.5
47,47,,,-733.0
48,48,,,-978.0
49,49,5258.51708984375,-59.5,
49,49,,,-243.0
50,50,,,-480.75
51,51,,,-956.5
52,52,,,-724.5
53,53,,,-243.75
54,54,,,-235.5
55,55,,,-487.0
56,56,,,-241.25
57,57,,,-483.75
58,58,,,-470.75
59,59,,,-241.25
60,60,,,-241.5
61,61,,,-486.75
62,62,,,-727.5
63,63,,,-968.5
64,64,,,-484.0
65,65,,,-976.5
66,66,,,-476.0
67,67,,,-713.5
68,68,,,-728.5
69,69,,,-478.25
70,70,,,-938.5
71,71,,,-232.75
72,72,,,-714.75
73,73,,,-469.5
74,74,,,-466.25
75,75,,,-235.5
76,76,,,1.0
77,77,,,-233.0
78,78,,,-232.75
79,79,,,-241.25
80,80,,,1.0
81,81,,,-232.75
82,82,,,-708.75
83,83,,,-486.25
84,84,,,-728.75
85,85,,,-476.25
86,86,,,-243.75
87,87,,,-476.0
88,88,,,-721.0
89,89,,,-718.75
90,90,,,-478.75
91,91,,,-466.5
92,92,,,-710.75
93,93,,,-244.5
94,94,,,-486.25
95,95,,,-233.0
96,96,,,1.0
97,97,,,-475.0
98,98,,,-232.5
99,99,7663.16748046875,-73.0,
99,99,,,1.0
